Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
GCF_000269685.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,2012709,38439,2195,2196,1125,354,304,287,2733,2457,36.3,8.81,-100.0,-1,-1,8,796,1,0,0,0
GCF_002901845.1.fna,g__Staphylococcus (UID298),56,805,176,98.61,0.17,0.0,1898405,36053,2075,2076,1116,350,304,286,2733,2452,36.2,9.04,-100.0,-1,-1,9,794,2,0,0,0
GCF_013267575.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1909317,35942,2066,2067,1122,352,306,289,2798,2728,36.1,10.89,-100.0,-1,-1,8,797,0,0,0,0
GCF_015274535.1.fna,g__Staphylococcus (UID298),56,805,176,98.37,0.57,0.0,1932399,36935,2074,2075,1128,354,310,292,2683,2410,36.2,11.55,-100.0,-1,-1,10,794,1,0,0,0
GCF_015274585.1.fna,g__Staphylococcus (UID298),56,805,176,98.37,0.57,0.0,1932847,36927,2079,2080,1125,354,309,291,2849,2566,36.2,9.73,-100.0,-1,-1,10,794,1,0,0,0
GCF_015274655.1.fna,g__Staphylococcus (UID298),56,805,176,98.37,0.57,0.0,1932569,36930,2079,2080,1125,354,309,291,2683,2410,36.2,10.68,-100.0,-1,-1,10,794,1,0,0,0
GCF_015274675.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1944078,36676,2096,2097,1140,356,308,290,2750,2472,36.3,10.88,-100.0,-1,-1,8,796,1,0,0,0
GCF_017315625.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.59,0.0,1865831,35015,2016,2017,1125,353,307,290,2747,2469,36.3,10.75,-100.0,-1,-1,8,795,2,0,0,0
GCF_017315645.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1877678,35396,2025,2026,1131,354,308,290,2927,2637,36.2,10.48,-100.0,-1,-1,8,796,1,0,0,0
GCF_022689565.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.14,33.33,1841582,34485,2002,2003,1122,352,306,288,2844,2560,36.4,10.24,-100.0,-1,-1,8,796,0,1,0,0
GCF_022689575.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.14,0.0,1937064,36977,2137,2138,1113,348,301,283,2733,2452,36.2,10.7,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689615.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.42,0.0,1870732,35408,2023,2024,1122,353,307,289,3228,2925,36.3,11.3,-100.0,-1,-1,8,793,4,0,0,0
GCF_022689645.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.31,0.0,1950259,37279,2136,2137,1113,349,303,285,2733,2451,36.2,9.03,-100.0,-1,-1,8,794,3,0,0,0
GCF_022689665.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.14,0.0,1936133,36951,2136,2137,1113,348,301,283,2733,2452,36.2,10.84,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689675.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.42,0.0,1868726,35305,2017,2018,1122,353,308,290,2718,2446,36.3,10.65,-100.0,-1,-1,8,793,4,0,0,0
GCF_022689705.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.69,0.0,2014071,38817,2211,2212,1113,348,302,285,3441,3175,36.1,9.83,-100.0,-1,-1,8,792,5,0,0,0
GCF_022689725.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.14,0.0,1936052,36952,2138,2139,1110,347,300,283,2733,2452,36.2,10.65,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689745.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.42,0.0,1874678,35437,2020,2021,1125,353,308,290,5394,4958,36.2,11.15,-100.0,-1,-1,8,793,4,0,0,0
GCF_022689765.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.63,0.0,1964709,37477,2152,2153,1116,349,303,286,3399,3080,36.2,9.69,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689775.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.11,0.0,1965908,37513,2147,2148,1116,350,304,286,3515,3153,36.4,9.12,-100.0,-1,-1,8,796,1,0,0,0
GCF_022689785.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.28,0.0,1901429,36045,2074,2075,1113,348,304,287,2732,2457,36.4,10.77,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689825.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.63,0.0,1964540,37488,2151,2152,1119,350,303,286,3147,2843,36.2,10.67,-100.0,-1,-1,8,795,2,0,0,0
GCF_022689845.1.fna,g__Staphylococcus (UID298),56,805,176,98.18,1.14,50.0,1949147,37132,2121,2122,1122,351,305,288,2649,2378,36.4,9.55,-100.0,-1,-1,9,794,2,0,0,0
