genome,cluster,score
GCF_031727455.1.fna,1_1,95.45271381043938
GCF_022689925.1.fna,1_2,94.94483209730079
GCF_031631055.1.fna,1_3,95.95599642846008
GCF_052950835.1.fna,1_4,93.1765762612237
GCF_040947065.1.fna,1_5,95.17541504326418
GCF_022690325.1.fna,1_6,93.97599642846008
GCF_031728895.1.fna,1_7,94.6765762612237
GCF_025143445.1.fna,1_8,94.06657626122369
GCF_022690005.1.fna,1_9,99.64307381043938
GCF_031728415.1.fna,1_10,99.57440659730078
GCF_031727275.1.fna,1_11,98.97424758216737
GCF_040947225.1.fna,1_12,98.9265762612237
GCF_022690225.1.fna,1_13,99.27945242566824
GCF_031728715.1.fna,1_14,100.27580292846007
GCF_022690185.1.fna,1_15,100.27391608216736
GCF_037700315.1.fna,1_16,84.46511131918436
GCF_031728795.1.fna,1_17,94.39715454982367
GCF_013267575.1.fna,1_18,100.27530042846007
GCF_031728695.1.fna,1_19,99.27424758216736
GCF_031728095.1.fna,1_20,98.84541504326418
GCF_022690375.1.fna,1_21,98.99541504326417
GCF_022689855.1.fna,1_22,99.8965762612237
GCF_022689665.1.fna,1_23,94.57424758216736
GCF_037700455.1.fna,1_24,93.63002505958808
GCF_002901845.1.fna,1_25,99.2848320973008
GCF_022689645.1.fna,1_26,98.72424758216737
GCF_031727535.1.fna,1_27,100.27230253669659
GCF_040947125.1.fna,1_28,99.02424758216736
GCF_022690025.1.fna,1_29,99.27483209730079
GCF_964211265.1.fna,1_30,99.2765762612237
GCF_031728275.1.fna,1_31,99.27541504326418
GCF_031727055.1.fna,1_32,99.27715454982366
GCF_022690295.1.fna,1_33,95.3965762612237
GCF_036420075.1.fna,1_34,97.42940542566824
GCF_031728515.1.fna,1_35,99.27830652727845
GCF_000269685.1.fna,1_36,96.4265762612237
GCF_031728475.1.fna,1_37,96.42773130246273
GCF_015274675.1.fna,1_38,96.42945242566825
GCF_022689565.1.fna,1_39,93.95595842846008
GCF_031727355.1.fna,1_40,93.95595842846008
GCF_022689965.1.fna,1_41,93.8165382612237
GCF_022690345.1.fna,1_42,95.72599642846008
GCF_031728155.1.fna,1_43,95.7265762612237
GCF_040947025.1.fna,1_44,95.72773130246273
GCF_031728315.1.fna,1_45,97.4260322612237
GCF_037694985.1.fna,1_46,83.77490214068177
GCF_029926915.1.fna,1_47,94.32579492846007
GCF_031728075.1.fna,1_48,97.4248320973008
GCF_037700155.1.fna,1_49,90.04776081043937
GCF_017315645.1.fna,1_50,96.42773130246273
GCF_031728295.1.fna,1_51,96.42599642846008
GCF_047653515.1.fna,1_52,94.87945242566823
GCF_022689975.1.fna,1_53,97.12541504326417
GCF_022690385.1.fna,1_54,96.28872704326417
GCF_022689845.1.fna,1_55,94.57587042846006
GCF_022690245.1.fna,1_56,96.42945242566825
GCF_031727075.1.fna,1_57,93.1762682612237
GCF_031728235.1.fna,1_58,90.52424758216736
GCF_015274535.1.fna,1_59,97.04690254982367
GCF_025143205.1.fna,1_60,97.42673450246272
GCF_031728835.1.fna,1_61,94.25888023234387
GCF_040947605.1.fna,1_62,95.87424758216736
GCF_022690275.1.fna,1_63,96.42715454982367
GCF_022690105.1.fna,1_64,97.4265762612237
GCF_031728115.1.fna,1_65,95.02888023234387
GCF_031728745.1.fna,1_66,95.02773130246273
GCF_040947205.1.fna,1_67,96.14773130246273
GCF_047653525.1.fna,1_68,95.03002311519765
GCF_017315625.1.fna,1_69,96.32657626122369
GCF_031728735.1.fna,1_70,96.42888023234387
GCF_022690115.1.fna,1_71,95.87657626122369
