genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCF_022690085.1.fna,1_1,0.0010000000000000009,average,fastANI,1
GCF_031727455.1.fna,1_1,0.0010000000000000009,average,fastANI,1
GCF_022689925.1.fna,1_2,0.0010000000000000009,average,fastANI,1
GCF_031631055.1.fna,1_3,0.0010000000000000009,average,fastANI,1
GCF_052950835.1.fna,1_4,0.0010000000000000009,average,fastANI,1
GCF_040947065.1.fna,1_5,0.0010000000000000009,average,fastANI,1
GCF_022690325.1.fna,1_6,0.0010000000000000009,average,fastANI,1
GCF_031728895.1.fna,1_7,0.0010000000000000009,average,fastANI,1
GCF_025143445.1.fna,1_8,0.0010000000000000009,average,fastANI,1
GCF_022690005.1.fna,1_9,0.0010000000000000009,average,fastANI,1
GCF_022690045.1.fna,1_9,0.0010000000000000009,average,fastANI,1
GCF_031728415.1.fna,1_10,0.0010000000000000009,average,fastANI,1
GCF_031728455.1.fna,1_10,0.0010000000000000009,average,fastANI,1
GCF_031728495.1.fna,1_10,0.0010000000000000009,average,fastANI,1
GCF_031727275.1.fna,1_11,0.0010000000000000009,average,fastANI,1
GCF_040947225.1.fna,1_12,0.0010000000000000009,average,fastANI,1
GCF_022690225.1.fna,1_13,0.0010000000000000009,average,fastANI,1
GCF_022689775.1.fna,1_14,0.0010000000000000009,average,fastANI,1
GCF_022690205.1.fna,1_14,0.0010000000000000009,average,fastANI,1
GCF_025143615.1.fna,1_14,0.0010000000000000009,average,fastANI,1
GCF_031728715.1.fna,1_14,0.0010000000000000009,average,fastANI,1
GCF_036419895.1.fna,1_14,0.0010000000000000009,average,fastANI,1
GCF_022689785.1.fna,1_15,0.0010000000000000009,average,fastANI,1
GCF_022690185.1.fna,1_15,0.0010000000000000009,average,fastANI,1
GCF_031729015.1.fna,1_15,0.0010000000000000009,average,fastANI,1
GCF_037700315.1.fna,1_16,0.0010000000000000009,average,fastANI,1
GCF_031728795.1.fna,1_17,0.0010000000000000009,average,fastANI,1
GCF_013267575.1.fna,1_18,0.0010000000000000009,average,fastANI,1
GCF_031728675.1.fna,1_18,0.0010000000000000009,average,fastANI,1
GCF_031728695.1.fna,1_19,0.0010000000000000009,average,fastANI,1
GCF_031728095.1.fna,1_20,0.0010000000000000009,average,fastANI,1
GCF_022690375.1.fna,1_21,0.0010000000000000009,average,fastANI,1
GCF_022689855.1.fna,1_22,0.0010000000000000009,average,fastANI,1
GCF_031727235.1.fna,1_22,0.0010000000000000009,average,fastANI,1
GCF_022689575.1.fna,1_23,0.0010000000000000009,average,fastANI,1
GCF_022689665.1.fna,1_23,0.0010000000000000009,average,fastANI,1
GCF_022689725.1.fna,1_23,0.0010000000000000009,average,fastANI,1
GCF_037700375.1.fna,1_24,0.0010000000000000009,average,fastANI,1
