genome1,genome2,dist,similarity
GCF_022690045.1.fna,GCF_022690045.1.fna,0.0,1.0
GCF_017315625.1.fna,GCF_022690045.1.fna,0.018992484,0.9810075
GCF_900458635.1.fna,GCF_022690045.1.fna,0.008155823,0.9918442
GCF_022689565.1.fna,GCF_022690045.1.fna,0.019951403,0.9800486
GCF_029926905.1.fna,GCF_022690045.1.fna,0.021991313,0.9780087
GCF_040947025.1.fna,GCF_022690045.1.fna,0.020279706,0.9797203
GCF_022690065.1.fna,GCF_022690045.1.fna,0.02156949,0.9784305
GCF_022689765.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_022690265.1.fna,GCF_022690045.1.fna,0.021430492,0.9785695
GCF_022689615.1.fna,GCF_022690045.1.fna,0.020412326,0.9795877
GCF_031728745.1.fna,GCF_022690045.1.fna,0.020412326,0.9795877
GCF_022690275.1.fna,GCF_022690045.1.fna,0.022348404,0.9776516
GCF_047653515.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_031728275.1.fna,GCF_022690045.1.fna,0.0075594783,0.9924405
GCF_022690115.1.fna,GCF_022690045.1.fna,0.023753703,0.9762463
GCF_031728735.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_036419895.1.fna,GCF_022690045.1.fna,0.004548967,0.99545103
GCF_000269685.1.fna,GCF_022690045.1.fna,0.02227658,0.9777234
GCF_031728515.1.fna,GCF_022690045.1.fna,0.023829877,0.9761701
GCF_037700155.1.fna,GCF_022690045.1.fna,0.020345926,0.9796541
GCF_022690225.1.fna,GCF_022690045.1.fna,0.011486471,0.9885135
GCF_022689945.1.fna,GCF_022690045.1.fna,0.02285707,0.97714293
GCF_015274585.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_031728415.1.fna,GCF_022690045.1.fna,0.0072319508,0.99276805
GCF_031729015.1.fna,GCF_022690045.1.fna,0.005183816,0.9948162
GCF_037700315.1.fna,GCF_022690045.1.fna,0.00737679,0.9926232
