genome,location,length
GCF_000269685.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_000269685.1.fna,2012709
GCF_002901845.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_002901845.1.fna,1898405
GCF_013267575.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_013267575.1.fna,1909317
GCF_015274535.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_015274535.1.fna,1932399
GCF_015274585.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_015274585.1.fna,1932847
GCF_015274655.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_015274655.1.fna,1932569
GCF_015274675.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_015274675.1.fna,1944078
GCF_017315625.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_017315625.1.fna,1865831
GCF_017315645.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_017315645.1.fna,1877678
GCF_022689565.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689565.1.fna,1841582
GCF_022689575.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689575.1.fna,1937064
GCF_022689615.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689615.1.fna,1870732
GCF_022689645.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689645.1.fna,1950259
GCF_022689665.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689665.1.fna,1936133
GCF_022689675.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689675.1.fna,1868726
GCF_022689705.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689705.1.fna,2014071
GCF_022689725.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689725.1.fna,1936052
GCF_022689745.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689745.1.fna,1874678
GCF_022689765.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689765.1.fna,1964709
GCF_022689775.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689775.1.fna,1965908
GCF_022689785.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689785.1.fna,1901429
GCF_022689825.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689825.1.fna,1964540
GCF_022689845.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689845.1.fna,1949147
GCF_022689855.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689855.1.fna,1979148
GCF_022689905.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689905.1.fna,1873837
GCF_022689925.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689925.1.fna,1925531
GCF_022689945.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689945.1.fna,1965990
GCF_022689965.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689965.1.fna,1898235
GCF_022689975.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022689975.1.fna,1963466
GCF_022690005.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690005.1.fna,1948047
GCF_022690025.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690025.1.fna,1937729
GCF_022690045.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690045.1.fna,1947936
GCF_022690065.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690065.1.fna,1896458
GCF_022690085.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690085.1.fna,1857535
GCF_022690105.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690105.1.fna,1916913
GCF_022690115.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690115.1.fna,1938380
GCF_022690145.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690145.1.fna,1910057
GCF_022690165.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690165.1.fna,1896261
GCF_022690185.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690185.1.fna,1935497
GCF_022690205.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690205.1.fna,1969695
GCF_022690225.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690225.1.fna,1912183
GCF_022690245.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690245.1.fna,1864885
GCF_022690265.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690265.1.fna,1883406
GCF_022690275.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690275.1.fna,1908825
GCF_022690295.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690295.1.fna,1966168
GCF_022690325.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690325.1.fna,1922599
GCF_022690345.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690345.1.fna,1891151
GCF_022690375.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690375.1.fna,1958067
GCF_022690385.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690385.1.fna,2014859
GCF_022690425.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_022690425.1.fna,2002295
GCF_025143205.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_025143205.1.fna,1887788
GCF_025143445.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_025143445.1.fna,1950790
GCF_025143615.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_025143615.1.fna,1956433
GCF_029926865.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_029926865.1.fna,1977382
GCF_029926905.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_029926905.1.fna,1977150
GCF_029926915.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_029926915.1.fna,1925960
GCF_031631055.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031631055.1.fna,1954095
GCF_031727055.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727055.1.fna,2021921
GCF_031727075.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727075.1.fna,1874510
GCF_031727235.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727235.1.fna,1984064
GCF_031727255.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727255.1.fna,1978935
GCF_031727275.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727275.1.fna,1984697
GCF_031727355.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727355.1.fna,1845920
GCF_031727455.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727455.1.fna,1937099
GCF_031727535.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031727535.1.fna,1967944
GCF_031728075.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728075.1.fna,2006383
GCF_031728095.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728095.1.fna,1894197
GCF_031728115.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728115.1.fna,1894789
GCF_031728155.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728155.1.fna,1900901
GCF_031728235.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728235.1.fna,2063092
GCF_031728275.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728275.1.fna,1922936
GCF_031728295.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728295.1.fna,1858631
GCF_031728315.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728315.1.fna,1880920
GCF_031728335.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728335.1.fna,2001341
GCF_031728415.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728415.1.fna,2019251
GCF_031728455.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728455.1.fna,1910438
GCF_031728475.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728475.1.fna,1899424
GCF_031728495.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728495.1.fna,1899501
GCF_031728515.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728515.1.fna,2186562
GCF_031728555.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728555.1.fna,1900965
GCF_031728675.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728675.1.fna,1888997
GCF_031728695.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728695.1.fna,1930120
GCF_031728715.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728715.1.fna,1863812
GCF_031728735.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728735.1.fna,1951304
GCF_031728745.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728745.1.fna,1899736
GCF_031728795.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728795.1.fna,1936534
GCF_031728835.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728835.1.fna,1854217
GCF_031728895.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031728895.1.fna,1945906
GCF_031729015.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_031729015.1.fna,1933510
GCF_036419895.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_036419895.1.fna,1928711
GCF_036420075.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_036420075.1.fna,1984481
GCF_037694985.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037694985.1.fna,2034029
GCF_037695175.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037695175.1.fna,1973354
GCF_037700135.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700135.1.fna,1998986
GCF_037700155.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700155.1.fna,1931951
GCF_037700295.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700295.1.fna,1921641
GCF_037700315.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700315.1.fna,2006591
GCF_037700375.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700375.1.fna,1954988
GCF_037700455.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_037700455.1.fna,1952624
GCF_040947025.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947025.1.fna,1916137
GCF_040947065.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947065.1.fna,1934747
GCF_040947125.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947125.1.fna,1967007
GCF_040947205.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947205.1.fna,1920608
GCF_040947225.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947225.1.fna,1883996
GCF_040947605.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947605.1.fna,1958601
GCF_040947645.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_040947645.1.fna,1957558
GCF_047653515.1.fna,/data/work/s_hominis/0.1rawdata/prokka/fna/GCF_047653515.1.fna,1924079
