genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
GCF_031727455.1.fna,95.45271381043938,98.18,0.85,0.0,1937099,1107,1_1,NA,NA,2,99.96,99.96,near,low
GCF_022689925.1.fna,94.9448320973008,98.67,0.85,0.0,1925531,1116,1_2,NA,NA,1,NA,NA,near,low
GCF_031631055.1.fna,95.95599642846008,98.68,0.65,0.0,1954095,1122,1_3,NA,NA,1,NA,NA,near,low
GCF_052950835.1.fna,93.1765762612237,98.75,1.22,0.0,1975288,1125,1_4,NA,NA,1,NA,NA,near,low
GCF_040947065.1.fna,95.17541504326418,97.9,0.65,0.0,1934747,1119,1_5,NA,NA,1,NA,NA,near,low
GCF_022690325.1.fna,93.97599642846008,98.75,1.06,0.0,1922599,1122,1_6,NA,NA,1,NA,NA,near,low
GCF_031728895.1.fna,94.6765762612237,98.75,0.92,0.0,1945906,1125,1_7,NA,NA,1,NA,NA,near,low
GCF_025143445.1.fna,94.06657626122367,98.94,1.08,0.0,1950790,1125,1_8,NA,NA,1,NA,NA,near,low
GCF_022690005.1.fna,99.64307381043938,98.47,0.07,0.0,1948047,1107,1_9,NA,NA,2,100.00,100.00,near,low
GCF_031728415.1.fna,99.57440659730078,98.75,0.14,0.0,2019251,1116,1_10,NA,NA,3,99.96,99.95,near,low
GCF_031727275.1.fna,98.97424758216737,98.75,0.06,0.0,1984697,1113,1_11,NA,NA,1,NA,NA,near,low
GCF_040947225.1.fna,98.9265762612237,98.75,0.07,0.0,1883996,1125,1_12,NA,NA,1,NA,NA,near,low
GCF_022690225.1.fna,99.27945242566824,98.75,0.0,0.0,1912183,1140,1_13,NA,NA,1,NA,NA,near,none
GCF_031728715.1.fna,100.27580292846008,98.75,0.0,0.0,1863812,1122,1_14,NA,NA,5,99.98,99.98,near,none
GCF_022690185.1.fna,100.27391608216736,98.75,0.0,0.0,1935497,1113,1_15,NA,NA,3,99.97,99.96,near,none
GCF_037700315.1.fna,84.46511131918436,98.75,3.15,30.0,2006591,1092,1_16,NA,NA,1,NA,NA,near,low
GCF_031728795.1.fna,94.39715454982368,98.47,0.92,0.0,1936534,1128,1_17,NA,NA,1,NA,NA,near,low
GCF_013267575.1.fna,100.27530042846008,98.75,0.0,0.0,1909317,1122,1_18,NA,NA,2,99.93,99.93,near,none
GCF_031728695.1.fna,99.27424758216736,98.75,0.0,0.0,1930120,1113,1_19,NA,NA,1,NA,NA,near,none
