"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000269685.1","GCF_002901845.1","GCF_013267575.1","GCF_015274535.1","GCF_015274675.1","GCF_017315625.1","GCF_017315645.1","GCF_022689565.1","GCF_022689645.1","GCF_022689665.1","GCF_022689845.1","GCF_022689855.1","GCF_022689925.1","GCF_022689965.1","GCF_022689975.1","GCF_022690005.1","GCF_022690025.1","GCF_022690105.1","GCF_022690115.1","GCF_022690185.1","GCF_022690225.1","GCF_022690245.1","GCF_022690275.1","GCF_022690295.1","GCF_022690325.1","GCF_022690345.1","GCF_022690375.1","GCF_022690385.1","GCF_025143205.1","GCF_025143445.1","GCF_029926915.1","GCF_031631055.1","GCF_031727055.1","GCF_031727075.1","GCF_031727275.1","GCF_031727355.1","GCF_031727455.1","GCF_031727535.1","GCF_031728075.1","GCF_031728095.1","GCF_031728115.1","GCF_031728155.1","GCF_031728235.1","GCF_031728275.1","GCF_031728295.1","GCF_031728315.1","GCF_031728415.1","GCF_031728475.1","GCF_031728515.1","GCF_031728695.1","GCF_031728715.1","GCF_031728735.1","GCF_031728745.1","GCF_031728795.1","GCF_031728835.1","GCF_031728895.1","GCF_036420075.1","GCF_037694985.1","GCF_037700155.1","GCF_037700315.1","GCF_037700455.1","GCF_040947025.1","GCF_040947065.1","GCF_040947125.1","GCF_040947205.1","GCF_040947225.1","GCF_040947605.1","GCF_047653515.1","GCF_047653525.1","GCF_052950835.1","GCF_964211265.1"
"IMPDH","","hypothetical protein","71","71","1","1205","1","","","Investigate","755","1298","1290","GCF_00026968_01741","GCF_00290184_01015","GCF_01326757_00855","GCF_01527453_00057","GCF_01527467_00046","GCF_01731562_01838","GCF_01731564_00886","GCF_02268956_01790","GCF_02268964_01622","GCF_02268966_01618","GCF_02268984_01726","GCF_02268985_01618","GCF_02268992_01707","GCF_02268996_01302","GCF_02268997_01134","GCF_02269000_01566","GCF_02269002_01067","GCF_02269010_01359","GCF_02269011_00749","GCF_02269018_00223","GCF_02269022_00120","GCF_02269024_00054","GCF_02269027_00351","GCF_02269029_01304","GCF_02269032_01562","GCF_02269034_00107","GCF_02269037_01019","GCF_02269038_01113","GCF_02514320_00100","GCF_02514344_00964","GCF_02992691_00943","GCF_03163105_01610","GCF_03172705_00459","GCF_03172707_00459","GCF_03172727_01401","GCF_03172735_01023","GCF_03172745_00005","GCF_03172753_01159","GCF_03172807_00665","GCF_03172809_01499","GCF_03172811_00764","GCF_03172815_01179","GCF_03172823_02032","GCF_03172827_01118","GCF_03172829_00437","GCF_03172831_00467","GCF_03172841_00795","GCF_03172847_00309","GCF_03172851_00805","GCF_03172869_01832","GCF_03172871_00130","GCF_03172873_01963","GCF_03172874_01001","GCF_03172879_00030","GCF_03172883_01534","GCF_03172889_00463","GCF_03642007_01710","GCF_03769498_00709","GCF_03770015_01079","GCF_03770031_01220","GCF_03770045_00465","GCF_04094702_01188","GCF_04094706_00102","GCF_04094712_00899","GCF_04094720_00817","GCF_04094722_00029","GCF_04094760_00357","GCF_04765351_01791","GCF_04765352_00469","GCF_05295083_00968","GCF_96421126_00856"
"group_1002","","hypothetical protein","71","71","1","1316","1","","","Investigate","500","500","500","GCF_00026968_01783","GCF_00290184_00972","GCF_01326757_00812","GCF_01527453_00099","GCF_01527467_00088","GCF_01731562_01795","GCF_01731564_00844","GCF_02268956_01833","GCF_02268964_01579","GCF_02268966_01575","GCF_02268984_01683","GCF_02268985_01575","GCF_02268992_01513","GCF_02268996_01344","GCF_02268997_01177","GCF_02269000_01609","GCF_02269002_01024","GCF_02269010_01401","GCF_02269011_00706","GCF_02269018_00266","GCF_02269022_00168","GCF_02269024_00012","GCF_02269027_00394","GCF_02269029_01261","GCF_02269032_01519","GCF_02269034_01804","GCF_02269037_00976","GCF_02269038_01070","GCF_02514320_00142","GCF_02514344_00922","GCF_02992691_00900","GCF_03163105_01653","GCF_03172705_00416","GCF_03172707_00502","GCF_03172727_01358","GCF_03172735_01066","GCF_03172745_00048","GCF_03172753_01202","GCF_03172807_00623","GCF_03172809_01673","GCF_03172811_00020","GCF_03172815_01628","GCF_03172823_01341","GCF_03172827_01161","GCF_03172829_00394","GCF_03172831_00425","GCF_03172841_00837","GCF_03172847_00351","GCF_03172851_00762","GCF_03172869_01642","GCF_03172871_00087","GCF_03172873_00913","GCF_03172874_00959","GCF_03172879_00073","GCF_03172883_01491","GCF_03172889_00420","GCF_03642007_01753","GCF_03769498_00667","GCF_03770015_01036","GCF_03770031_01263","GCF_03770045_00422","GCF_04094702_01230","GCF_04094706_00145","GCF_04094712_00856","GCF_04094720_00774","GCF_04094722_00072","GCF_04094760_01091","GCF_04765351_01749","GCF_04765352_00426","GCF_05295083_01011","GCF_96421126_00813"
"dtd","","D-aminoacyl-tRNA deacylase","71","71","1","1014","1","","","Investigate","452","452","452","GCF_00026968_01798","GCF_00290184_00957","GCF_01326757_00797","GCF_01527453_00114","GCF_01527467_00103","GCF_01731562_01780","GCF_01731564_00829","GCF_02268956_01848","GCF_02268964_01564","GCF_02268966_01560","GCF_02268984_01668","GCF_02268985_01560","GCF_02268992_01904","GCF_02268996_01359","GCF_02268997_01192","GCF_02269000_01624","GCF_02269002_01009","GCF_02269010_01416","GCF_02269011_00691","GCF_02269018_00281","GCF_02269022_00183","GCF_02269024_01217","GCF_02269027_00409","GCF_02269029_01246","GCF_02269032_01504","GCF_02269034_01789","GCF_02269037_00961","GCF_02269038_01055","GCF_02514320_00157","GCF_02514344_00907","GCF_02992691_00885","GCF_03163105_01668","GCF_03172705_00401","GCF_03172707_00517","GCF_03172727_01343","GCF_03172735_01081","GCF_03172745_00063","GCF_03172753_01217","GCF_03172807_00608","GCF_03172809_01658","GCF_03172811_00035","GCF_03172815_01643","GCF_03172823_01356","GCF_03172827_01176","GCF_03172829_00379","GCF_03172831_00410","GCF_03172841_00852","GCF_03172847_00366","GCF_03172851_00747","GCF_03172869_01627","GCF_03172871_00072","GCF_03172873_00898","GCF_03172874_00944","GCF_03172879_00088","GCF_03172883_01266","GCF_03172889_00405","GCF_03642007_01768","GCF_03769498_00652","GCF_03770015_01021","GCF_03770031_01278","GCF_03770045_00407","GCF_04094702_01245","GCF_04094706_00160","GCF_04094712_00841","GCF_04094720_00759","GCF_04094722_00087","GCF_04094760_01106","GCF_04765351_01734","GCF_04765352_00411","GCF_05295083_01026","GCF_96421126_00798"
"group_1005","","hypothetical protein","71","71","1","33","1","","","Investigate","638","707","706","GCF_00026968_01848","GCF_00290184_00907","GCF_01326757_00747","GCF_01527453_00164","GCF_01527467_00153","GCF_01731562_01730","GCF_01731564_00779","GCF_02268956_00087","GCF_02268964_01514","GCF_02268966_00998","GCF_02268984_01356","GCF_02268985_01510","GCF_02268992_01854","GCF_02268996_01409","GCF_02268997_01242","GCF_02269000_01674","GCF_02269002_00959","GCF_02269010_00881","GCF_02269011_00641","GCF_02269018_00331","GCF_02269022_00233","GCF_02269024_00224","GCF_02269027_00459","GCF_02269029_01196","GCF_02269032_01454","GCF_02269034_01739","GCF_02269037_00911","GCF_02269038_01005","GCF_02514320_00207","GCF_02514344_00857","GCF_02992691_00835","GCF_03163105_00480","GCF_03172705_00351","GCF_03172707_00567","GCF_03172727_00768","GCF_03172735_01507","GCF_03172745_00113","GCF_03172753_01267","GCF_03172807_01169","GCF_03172809_01068","GCF_03172811_00085","GCF_03172815_00340","GCF_03172823_00602","GCF_03172827_00856","GCF_03172829_00329","GCF_03172831_00360","GCF_03172841_01955","GCF_03172847_00416","GCF_03172851_00697","GCF_03172869_01724","GCF_03172871_00022","GCF_03172873_01933","GCF_03172874_00894","GCF_03172879_00138","GCF_03172883_01216","GCF_03172889_00354","GCF_03642007_01818","GCF_03769498_00602","GCF_03770015_01281","GCF_03770031_01328","GCF_03770045_00357","GCF_04094702_00603","GCF_04094706_00210","GCF_04094712_00791","GCF_04094720_00709","GCF_04094722_00137","GCF_04094760_01156","GCF_04765351_01684","GCF_04765352_00361","GCF_05295083_01076","GCF_96421126_00748"
"yqgN","","putative protein YqgN","71","71","1","61","1","","","Investigate","551","551","551","GCF_00026968_01870","GCF_00290184_00885","GCF_01326757_00725","GCF_01527453_00913","GCF_01527467_00175","GCF_01731562_00677","GCF_01731564_00757","GCF_02268956_01435","GCF_02268964_01850","GCF_02268966_00976","GCF_02268984_01334","GCF_02268985_01146","GCF_02268992_00584","GCF_02268996_01431","GCF_02268997_00359","GCF_02269000_01696","GCF_02269002_00937","GCF_02269010_01801","GCF_02269011_00619","GCF_02269018_00353","GCF_02269022_00255","GCF_02269024_00632","GCF_02269027_00481","GCF_02269029_01174","GCF_02269032_01432","GCF_02269034_01717","GCF_02269037_00889","GCF_02269038_00983","GCF_02514320_00229","GCF_02514344_00835","GCF_02992691_00813","GCF_03163105_00848","GCF_03172705_00329","GCF_03172707_00589","GCF_03172727_00746","GCF_03172735_01433","GCF_03172745_00135","GCF_03172753_00395","GCF_03172807_01147","GCF_03172809_01090","GCF_03172811_00107","GCF_03172815_00362","GCF_03172823_00624","GCF_03172827_00878","GCF_03172829_00307","GCF_03172831_00338","GCF_03172841_01237","GCF_03172847_00438","GCF_03172851_00675","GCF_03172869_01958","GCF_03172871_01915","GCF_03172873_01555","GCF_03172874_01101","GCF_03172879_00160","GCF_03172883_01194","GCF_03172889_00332","GCF_03642007_01840","GCF_03769498_00580","GCF_03770015_01259","GCF_03770031_01904","GCF_03770045_00335","GCF_04094702_00581","GCF_04094706_00232","GCF_04094712_00769","GCF_04094720_01697","GCF_04094722_00159","GCF_04094760_00564","GCF_04765351_01662","GCF_04765352_00337","GCF_05295083_01098","GCF_96421126_00726"
"group_1007","","hypothetical protein","71","71","1","648","1","","","Investigate","575","1058","1051","GCF_00026968_01876","GCF_00290184_00879","GCF_01326757_00719","GCF_01527453_00919","GCF_01527467_00181","GCF_01731562_00671","GCF_01731564_00751","GCF_02268956_01441","GCF_02268964_01856","GCF_02268966_00970","GCF_02268984_01328","GCF_02268985_01152","GCF_02268992_00590","GCF_02268996_01437","GCF_02268997_00353","GCF_02269000_00096","GCF_02269002_00931","GCF_02269010_01795","GCF_02269011_00613","GCF_02269018_00359","GCF_02269022_00261","GCF_02269024_00626","GCF_02269027_00487","GCF_02269029_01168","GCF_02269032_01426","GCF_02269034_01711","GCF_02269037_00883","GCF_02269038_00977","GCF_02514320_00235","GCF_02514344_00829","GCF_02992691_00807","GCF_03163105_00842","GCF_03172705_00323","GCF_03172707_00595","GCF_03172727_00740","GCF_03172735_01427","GCF_03172745_00141","GCF_03172753_00401","GCF_03172807_01141","GCF_03172809_01116","GCF_03172811_00113","GCF_03172815_00368","GCF_03172823_00630","GCF_03172827_00884","GCF_03172829_00301","GCF_03172831_00332","GCF_03172841_01243","GCF_03172847_00444","GCF_03172851_00669","GCF_03172869_01952","GCF_03172871_01909","GCF_03172873_01561","GCF_03172874_01107","GCF_03172879_00166","GCF_03172883_01188","GCF_03172889_00326","GCF_03642007_01846","GCF_03769498_00574","GCF_03770015_01253","GCF_03770031_01910","GCF_03770045_00329","GCF_04094702_00575","GCF_04094706_00238","GCF_04094712_00763","GCF_04094720_01691","GCF_04094722_00183","GCF_04094760_00558","GCF_04765351_01656","GCF_04765352_00331","GCF_05295083_01104","GCF_96421126_00720"
"aroK","","Shikimate kinase","71","71","1","1475","1","","","Investigate","509","509","509","GCF_00026968_01880","GCF_00290184_00875","GCF_01326757_00715","GCF_01527453_00923","GCF_01527467_00185","GCF_01731562_00668","GCF_01731564_00747","GCF_02268956_01445","GCF_02268964_01860","GCF_02268966_00967","GCF_02268984_01324","GCF_02268985_01156","GCF_02268992_00593","GCF_02268996_01441","GCF_02268997_00349","GCF_02269000_00100","GCF_02269002_00928","GCF_02269010_01791","GCF_02269011_00610","GCF_02269018_00362","GCF_02269022_00264","GCF_02269024_00622","GCF_02269027_00491","GCF_02269029_01164","GCF_02269032_01028","GCF_02269034_01707","GCF_02269037_00879","GCF_02269038_00973","GCF_02514320_00239","GCF_02514344_00826","GCF_02992691_00803","GCF_03163105_00839","GCF_03172705_00319","GCF_03172707_00599","GCF_03172727_00736","GCF_03172735_01423","GCF_03172745_00144","GCF_03172753_00405","GCF_03172807_01137","GCF_03172809_01119","GCF_03172811_00117","GCF_03172815_00372","GCF_03172823_00634","GCF_03172827_00888","GCF_03172829_00297","GCF_03172831_00328","GCF_03172841_01247","GCF_03172847_00448","GCF_03172851_00665","GCF_03172869_01736","GCF_03172871_01874","GCF_03172873_01565","GCF_03172874_01111","GCF_03172879_00169","GCF_03172883_01184","GCF_03172889_00323","GCF_03642007_01850","GCF_03769498_00570","GCF_03770015_01249","GCF_03770031_01914","GCF_03770045_00325","GCF_04094702_00571","GCF_04094706_00242","GCF_04094712_00760","GCF_04094720_01687","GCF_04094722_00187","GCF_04094760_00554","GCF_04765351_01652","GCF_04765352_00327","GCF_05295083_01108","GCF_96421126_00717"
"xseA","","Exodeoxyribonuclease 7 large subunit","71","71","1","539","1","","","Investigate","263","1337","1321","GCF_00026968_01893","GCF_00290184_00862","GCF_01326757_00702","GCF_01527453_00936","GCF_01527467_00198","GCF_01731562_00655","GCF_01731564_00734","GCF_02268956_01458","GCF_02268964_01873","GCF_02268966_00954","GCF_02268984_01311","GCF_02268985_01169","GCF_02268992_00606","GCF_02268996_01454","GCF_02268997_00336","GCF_02269000_00113","GCF_02269002_00915","GCF_02269010_01778","GCF_02269011_00597","GCF_02269018_00375","GCF_02269022_00277","GCF_02269024_00609","GCF_02269027_00504","GCF_02269029_01151","GCF_02269032_01041","GCF_02269034_01694","GCF_02269037_00866","GCF_02269038_00960","GCF_02514320_00252","GCF_02514344_00813","GCF_02992691_00790","GCF_03163105_00826","GCF_03172705_00306","GCF_03172707_00612","GCF_03172727_00723","GCF_03172735_01410","GCF_03172745_00157","GCF_03172753_00418","GCF_03172807_01124","GCF_03172809_01132","GCF_03172811_00130","GCF_03172815_00385","GCF_03172823_00647","GCF_03172827_00901","GCF_03172829_00284","GCF_03172831_00315","GCF_03172841_01260","GCF_03172847_01842","GCF_03172851_00652","GCF_03172869_01749","GCF_03172871_01696","GCF_03172873_01908","GCF_03172874_01124","GCF_03172879_00182","GCF_03172883_01171","GCF_03172889_00310","GCF_03642007_01863","GCF_03769498_00557","GCF_03770015_01236","GCF_03770031_00980","GCF_03770045_00312","GCF_04094702_00558","GCF_04094706_00255","GCF_04094712_00747","GCF_04094720_01674","GCF_04094722_00200","GCF_04094760_00541","GCF_04765351_01639","GCF_04765352_00314","GCF_05295083_01121","GCF_96421126_00704"
"group_101","","hypothetical protein","71","71","1","1045","1","","","Investigate","827","830","827","GCF_00026968_01089","GCF_00290184_01355","GCF_01326757_01596","GCF_01527453_00190","GCF_01527467_01592","GCF_01731562_01001","GCF_01731564_00364","GCF_02268956_01412","GCF_02268964_01451","GCF_02268966_01935","GCF_02268984_00323","GCF_02268985_01372","GCF_02268992_00443","GCF_02268996_01757","GCF_02268997_00933","GCF_02269000_01296","GCF_02269002_01870","GCF_02269010_00400","GCF_02269011_01987","GCF_02269018_01823","GCF_02269022_01289","GCF_02269024_00070","GCF_02269027_00905","GCF_02269029_01471","GCF_02269032_01615","GCF_02269034_00049","GCF_02269037_01519","GCF_02269038_01868","GCF_02514320_01720","GCF_02514344_01187","GCF_02992691_00177","GCF_03163105_00044","GCF_03172705_01826","GCF_03172707_00996","GCF_03172727_01642","GCF_03172735_00689","GCF_03172745_00350","GCF_03172753_01819","GCF_03172807_01645","GCF_03172809_00294","GCF_03172811_01391","GCF_03172815_01092","GCF_03172823_01155","GCF_03172827_01079","GCF_03172829_00811","GCF_03172831_01080","GCF_03172841_01425","GCF_03172847_01013","GCF_03172851_01857","GCF_03172869_01409","GCF_03172871_00527","GCF_03172873_00226","GCF_03172874_01862","GCF_03172879_00741","GCF_03172883_00979","GCF_03172889_01417","GCF_03642007_00968","GCF_03769498_01823","GCF_03770015_00550","GCF_03770031_01080","GCF_03770045_01040","GCF_04094702_01458","GCF_04094706_01142","GCF_04094712_01775","GCF_04094720_01405","GCF_04094722_01800","GCF_04094760_00290","GCF_04765351_00574","GCF_04765352_01241","GCF_05295083_00144","GCF_96421126_01199"
"xseB","","Exodeoxyribonuclease 7 small subunit","71","71","1","492","1","","","Investigate","230","230","230","GCF_00026968_01894","GCF_00290184_00861","GCF_01326757_00701","GCF_01527453_00937","GCF_01527467_00199","GCF_01731562_00654","GCF_01731564_00733","GCF_02268956_01459","GCF_02268964_01874","GCF_02268966_00953","GCF_02268984_01310","GCF_02268985_01170","GCF_02268992_00607","GCF_02268996_01455","GCF_02268997_00335","GCF_02269000_00114","GCF_02269002_00914","GCF_02269010_01777","GCF_02269011_00596","GCF_02269018_00376","GCF_02269022_00278","GCF_02269024_00608","GCF_02269027_00505","GCF_02269029_01150","GCF_02269032_01042","GCF_02269034_01693","GCF_02269037_00865","GCF_02269038_00959","GCF_02514320_00253","GCF_02514344_00812","GCF_02992691_00789","GCF_03163105_00825","GCF_03172705_00305","GCF_03172707_00613","GCF_03172727_00722","GCF_03172735_01409","GCF_03172745_00158","GCF_03172753_00419","GCF_03172807_01123","GCF_03172809_01133","GCF_03172811_00131","GCF_03172815_00386","GCF_03172823_00648","GCF_03172827_00902","GCF_03172829_00283","GCF_03172831_00314","GCF_03172841_01261","GCF_03172847_01841","GCF_03172851_00651","GCF_03172869_01750","GCF_03172871_01697","GCF_03172873_01909","GCF_03172874_01125","GCF_03172879_00183","GCF_03172883_01170","GCF_03172889_00309","GCF_03642007_01864","GCF_03769498_00556","GCF_03770015_01235","GCF_03770031_00979","GCF_03770045_00311","GCF_04094702_00557","GCF_04094706_00256","GCF_04094712_00746","GCF_04094720_01673","GCF_04094722_00201","GCF_04094760_00540","GCF_04765351_01638","GCF_04765352_00313","GCF_05295083_01122","GCF_96421126_00703"
