reference,querry,ani,alignment_coverage,primary_cluster
GCF_000269685.1.fna,GCF_000269685.1.fna,1.0,1.0,1
GCF_000269685.1.fna,GCF_002901845.1.fna,0.971697,0.7586206896551724,1
GCF_000269685.1.fna,GCF_013267575.1.fna,0.977202,0.6896551724137931,1
GCF_000269685.1.fna,GCF_015274535.1.fna,0.994106,0.7241379310344828,1
GCF_000269685.1.fna,GCF_015274585.1.fna,0.994106,0.7241379310344828,1
GCF_000269685.1.fna,GCF_015274655.1.fna,0.994106,0.7241379310344828,1
GCF_000269685.1.fna,GCF_015274675.1.fna,0.9948279999999999,0.896551724137931,1
GCF_000269685.1.fna,GCF_017315625.1.fna,0.994282,0.7586206896551724,1
GCF_000269685.1.fna,GCF_017315645.1.fna,0.990617,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689565.1.fna,0.9940300000000001,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689575.1.fna,0.9743890000000001,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689615.1.fna,0.994006,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689645.1.fna,0.9751449999999999,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689665.1.fna,0.974016,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689675.1.fna,0.9940819999999999,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689705.1.fna,0.976811,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689725.1.fna,0.974679,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689745.1.fna,0.993866,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022689765.1.fna,0.985094,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689775.1.fna,0.977517,0.6896551724137931,1
GCF_000269685.1.fna,GCF_022689785.1.fna,0.977235,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022689825.1.fna,0.9850369999999999,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689845.1.fna,0.985907,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022689855.1.fna,0.974893,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689905.1.fna,0.98414,0.896551724137931,1
GCF_000269685.1.fna,GCF_022689925.1.fna,0.960467,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022689945.1.fna,0.9752339999999999,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022689965.1.fna,0.987798,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022689975.1.fna,0.984564,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022690005.1.fna,0.977575,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022690025.1.fna,0.967574,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022690045.1.fna,0.977575,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022690065.1.fna,0.981189,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022690085.1.fna,0.969023,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690105.1.fna,0.993031,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690115.1.fna,0.977409,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022690145.1.fna,0.981188,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022690165.1.fna,0.981629,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022690185.1.fna,0.971431,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690205.1.fna,0.975244,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022690225.1.fna,0.9779040000000001,0.6896551724137931,1
GCF_000269685.1.fna,GCF_022690245.1.fna,0.994277,0.7241379310344828,1
GCF_000269685.1.fna,GCF_022690265.1.fna,0.991844,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690275.1.fna,0.993911,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690295.1.fna,0.95583,0.8620689655172413,1
GCF_000269685.1.fna,GCF_022690325.1.fna,0.9710030000000001,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690345.1.fna,0.991539,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022690375.1.fna,0.970989,0.7931034482758621,1
GCF_000269685.1.fna,GCF_022690385.1.fna,0.992008,0.7586206896551724,1
GCF_000269685.1.fna,GCF_022690425.1.fna,0.9917570000000001,0.7586206896551724,1
GCF_000269685.1.fna,GCF_025143205.1.fna,0.995186,0.7241379310344828,1
GCF_000269685.1.fna,GCF_025143445.1.fna,0.961991,0.7931034482758621,1
GCF_000269685.1.fna,GCF_025143615.1.fna,0.977557,0.6896551724137931,1
GCF_000269685.1.fna,GCF_029926865.1.fna,0.988146,0.7931034482758621,1
GCF_000269685.1.fna,GCF_029926905.1.fna,0.988146,0.7931034482758621,1
