genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
GCF_000269685.1.fna,98.75,0.57,0.0,2012709,1125,0.0
GCF_002901845.1.fna,98.61,0.17,0.0,1898405,1116,1.0
GCF_013267575.1.fna,98.75,0.0,0.0,1909317,1122,0.999304
GCF_015274535.1.fna,98.37,0.57,0.0,1932399,1128,0.9997480000000001
GCF_015274585.1.fna,98.37,0.57,0.0,1932847,1125,1.0
GCF_015274655.1.fna,98.37,0.57,0.0,1932569,1125,0.9997825
GCF_015274675.1.fna,98.75,0.57,0.0,1944078,1140,0.0
GCF_017315625.1.fna,98.75,0.59,0.0,1865831,1125,0.0
GCF_017315645.1.fna,98.75,0.57,0.0,1877678,1131,0.0
GCF_022689565.1.fna,98.75,1.14,33.33,1841582,1122,0.0
GCF_022689575.1.fna,98.75,1.14,0.0,1937064,1113,0.999891
GCF_022689615.1.fna,98.75,1.42,0.0,1870732,1122,0.9991393333333334
GCF_022689645.1.fna,98.75,0.31,0.0,1950259,1113,1.0
GCF_022689665.1.fna,98.75,1.14,0.0,1936133,1113,1.0
GCF_022689675.1.fna,98.75,1.42,0.0,1868726,1122,0.9996733333333333
GCF_022689705.1.fna,98.75,0.69,0.0,2014071,1113,1.0
GCF_022689725.1.fna,98.75,1.14,0.0,1936052,1110,0.99959
GCF_022689745.1.fna,98.75,1.42,0.0,1874678,1125,0.9991973333333334
GCF_022689765.1.fna,98.75,0.63,0.0,1964709,1116,0.999511
GCF_022689775.1.fna,98.75,0.11,0.0,1965908,1116,0.99991675
GCF_022689785.1.fna,98.75,0.28,0.0,1901429,1113,0.999536
GCF_022689825.1.fna,98.75,0.63,0.0,1964540,1119,0.9998145
GCF_022689845.1.fna,98.18,1.14,50.0,1949147,1122,0.999874
GCF_022689855.1.fna,98.47,0.02,0.0,1979148,1125,1.0
GCF_022689905.1.fna,98.75,0.57,0.0,1873837,1119,1.0
GCF_022689925.1.fna,98.67,0.85,0.0,1925531,1116,0.0
GCF_022689945.1.fna,98.75,0.57,0.0,1965990,1131,0.999694
GCF_022689965.1.fna,98.61,1.14,33.33,1898235,1125,0.0
GCF_022689975.1.fna,98.75,0.63,0.0,1963466,1119,1.0
GCF_022690005.1.fna,98.47,0.07,0.0,1948047,1107,1.0
GCF_022690025.1.fna,98.75,0.0,0.0,1937729,1116,0.0
GCF_022690045.1.fna,98.47,0.07,0.0,1947936,1104,1.0
GCF_022690065.1.fna,98.75,0.85,0.0,1896458,1137,0.9998638
GCF_022690085.1.fna,98.11,0.85,0.0,1857535,1116,0.999639
GCF_022690105.1.fna,98.75,0.57,0.0,1916913,1125,1.0
GCF_022690115.1.fna,98.75,0.68,0.0,1938380,1125,0.0
GCF_022690145.1.fna,98.75,0.85,0.0,1910057,1137,0.9997098
GCF_022690165.1.fna,98.75,0.85,0.0,1896261,1137,0.9996559999999999
GCF_022690185.1.fna,98.75,0.0,0.0,1935497,1113,0.9996685000000001
GCF_022690205.1.fna,98.75,0.02,0.0,1969695,1122,0.99990025
GCF_022690225.1.fna,98.75,0.0,0.0,1912183,1140,0.0
GCF_022690245.1.fna,98.75,0.57,0.0,1864885,1140,0.0
GCF_022690265.1.fna,98.75,0.85,0.0,1883406,1137,0.9998636000000001
GCF_022690275.1.fna,98.75,0.57,0.0,1908825,1128,0.0
GCF_022690295.1.fna,98.47,0.92,0.0,1966168,1125,1.0
GCF_022690325.1.fna,98.75,1.06,0.0,1922599,1122,0.0
GCF_022690345.1.fna,98.75,0.71,0.0,1891151,1122,0.0
GCF_022690375.1.fna,98.47,0.0,0.0,1958067,1119,0.0
GCF_022690385.1.fna,98.75,0.64,33.33,2014859,1119,0.0
GCF_022690425.1.fna,98.75,0.57,0.0,2002295,1119,0.999174
GCF_025143205.1.fna,98.75,0.57,0.0,1887788,1131,0.9990032
GCF_025143445.1.fna,98.94,1.08,0.0,1950790,1125,0.0
GCF_025143615.1.fna,98.75,0.07,0.0,1956433,1125,0.9998482500000001
GCF_029926865.1.fna,98.75,1.21,0.0,1977382,1125,0.999967
GCF_029926905.1.fna,98.75,1.21,0.0,1977150,1125,0.9999635
GCF_029926915.1.fna,98.75,1.19,0.0,1925960,1122,0.9997985
GCF_031631055.1.fna,98.68,0.65,0.0,1954095,1122,0.0
GCF_031727055.1.fna,98.75,0.0,0.0,2021921,1128,0.0
GCF_031727075.1.fna,98.75,1.42,0.0,1874510,1125,0.999692
GCF_031727235.1.fna,98.47,0.02,0.0,1984064,1125,0.999405
GCF_031727255.1.fna,98.47,0.92,0.0,1978935,1125,1.0
GCF_031727275.1.fna,98.75,0.06,0.0,1984697,1113,0.0
GCF_031727355.1.fna,98.75,1.14,33.33,1845920,1122,0.0
GCF_031727455.1.fna,98.18,0.85,0.0,1937099,1107,0.99964
GCF_031727535.1.fna,98.75,0.0,0.0,1967944,1104,0.999818
GCF_031728075.1.fna,98.75,0.57,0.0,2006383,1116,1.0
GCF_031728095.1.fna,98.67,0.07,0.0,1894197,1119,0.0
GCF_031728115.1.fna,98.75,0.85,0.0,1894789,1137,0.0
GCF_031728155.1.fna,98.75,0.71,0.0,1900901,1125,0.0
GCF_031728235.1.fna,98.75,1.75,0.0,2063092,1113,0.0
GCF_031728275.1.fna,98.75,0.0,0.0,1922936,1119,0.0
GCF_031728295.1.fna,98.75,0.57,0.0,1858631,1122,0.0
GCF_031728315.1.fna,98.75,0.57,0.0,1880920,1125,0.999456
GCF_031728335.1.fna,98.75,0.57,0.0,2001341,1125,0.999352
GCF_031728415.1.fna,98.75,0.14,0.0,2019251,1116,0.9995745
GCF_031728455.1.fna,98.75,0.18,0.0,1910438,1113,0.9996940000000001
GCF_031728475.1.fna,98.75,0.57,0.0,1899424,1131,0.0
GCF_031728495.1.fna,98.75,0.28,0.0,1899501,1119,0.9994945
GCF_031728515.1.fna,98.75,0.0,0.0,2186562,1134,0.0
GCF_031728555.1.fna,98.75,0.85,0.0,1900965,1140,0.999502
GCF_031728675.1.fna,98.75,0.0,0.0,1888997,1107,0.99988
GCF_031728695.1.fna,98.75,0.0,0.0,1930120,1113,0.0
GCF_031728715.1.fna,98.75,0.0,0.0,1863812,1122,0.9998065
GCF_031728735.1.fna,98.75,0.57,0.0,1951304,1137,0.0
GCF_031728745.1.fna,98.75,0.85,0.0,1899736,1131,0.0
GCF_031728795.1.fna,98.47,0.92,0.0,1936534,1128,0.0
GCF_031728835.1.fna,98.33,0.92,0.0,1854217,1137,0.0
GCF_031728895.1.fna,98.75,0.92,0.0,1945906,1125,0.0
GCF_031729015.1.fna,98.75,0.0,0.0,1933510,1107,0.998569
GCF_036419895.1.fna,98.75,0.0,0.0,1928711,1122,0.9997885
GCF_036420075.1.fna,98.75,0.57,0.0,1984481,1140,0.999953
GCF_037694985.1.fna,98.94,3.24,16.0,2034029,1074,0.0
GCF_037695175.1.fna,98.75,0.93,10.0,1973354,1077,0.999818
GCF_037700135.1.fna,98.75,3.93,38.46,1998986,1086,0.999914
GCF_037700155.1.fna,98.75,2.14,22.22,1931951,1107,0.999179
GCF_037700295.1.fna,98.75,3.58,23.81,1921641,1095,1.0
GCF_037700315.1.fna,98.75,3.15,30.0,2006591,1092,0.0
GCF_037700375.1.fna,98.75,1.68,53.85,1954988,1095,1.0
GCF_037700455.1.fna,98.69,1.41,33.33,1952624,1095,0.999365
GCF_040947025.1.fna,98.75,0.71,0.0,1916137,1131,0.0
GCF_040947065.1.fna,97.9,0.65,0.0,1934747,1119,0.0
GCF_040947125.1.fna,98.75,0.05,0.0,1967007,1113,0.0
GCF_040947205.1.fna,98.47,0.57,0.0,1920608,1131,0.0
GCF_040947225.1.fna,98.75,0.07,0.0,1883996,1125,0.0
GCF_040947605.1.fna,98.75,0.88,0.0,1958601,1113,1.0
GCF_040947645.1.fna,98.75,0.88,0.0,1957558,1113,1.0
GCF_047653515.1.fna,98.75,0.88,0.0,1924079,1140,0.0
GCF_047653525.1.fna,98.75,0.85,0.0,2001119,1143,0.0
GCF_052950835.1.fna,98.75,1.22,0.0,1975288,1125,0.0
GCF_900458635.1.fna,98.61,0.59,50.0,1924638,1125,1.0
GCF_964211265.1.fna,98.75,0.0,0.0,1896997,1125,0.0
